Booth,Location,Zone,Type,Anti_Inc_to_UDF,T20_to_UDF,T20_Float_to_UDF,Genuine_UDF,Turnout_to_UDF,Total_UDF_Swing,UDF_2021,Projected_UDF_2026
120,St Anthony LPS E Main,Chellanam,D,94,90,18,135,1,338,234,572
91,Loretto AIHS New Block 2E,Chullickal,B,144,40,8,145,0,337,347,684
94,St Anthony LPS N S Block,Chullickal,C,153,20,4,160,0,337,245,582
32,Aasia Bai HSS Middle W,Fort Kochi,B,152,12,2,170,0,336,338,674
59,MMOHS W South Block,Chullickal,C,139,2,0,192,0,333,197,530
83,St Sebastian HSS W N Bldg,Chullickal,C,169,18,3,143,0,333,289,622
78,St Jacob School Nazreth W,Chullickal,B,149,26,6,150,0,331,310,641
36,Haji Easa Moosa HS Mid,Fort Kochi,C,150,3,1,175,0,329,171,500
93,St Anthony LPS E S Block,Chullickal,B,127,24,4,171,0,326,217,543
81,St Sebastian HSS W LP,Chullickal,C,151,18,4,152,0,325,284,609
63,Corp Library Panayapilly,Chullickal,C,150,6,2,166,0,324,274,598
6,Santa Cruz LP School Fort Kochi,Fort Kochi,B,137,18,4,164,0,323,292,615
70,St Joseph HS Chullickal W SE,Chullickal,B,151,19,4,148,0,322,312,634
7,Santa Cruz HS Middle Block,Fort Kochi,B,119,32,6,161,0,318,265,583
143,Village Office Kumbalangi,Kumbalangi,B,123,37,8,147,0,315,328,643
58,MMOHS E Portion S Block,Chullickal,C,158,10,2,144,0,314,243,557
64,GHS Panayappilly KG E,Chullickal,C,155,9,2,148,0,314,223,537
66,St Joseph HS Chullickal SE E,Chullickal,B,132,18,4,160,0,314,263,577
19,GUPS North Portion Main Block,Fort Kochi,B,127,33,7,146,0,313,245,558
16,GUPS Amaravathy Mid Block,Fort Kochi,C,177,25,5,104,0,311,235,546
151,Govt UPS Kumbalangi N,Kumbalangi,B,125,48,10,127,0,310,403,713
157,St George UPS SW Bldg,Kumbalangi,A,130,41,8,129,0,308,388,696
89,Loretto AILPS S Block W,Chullickal,A,132,36,7,131,0,306,358,664
119,St Anthony LPS W Main,Chellanam,D,71,70,14,122,27,304,167,471
24,Edward Memorial GLPS N,Fort Kochi,B,120,16,3,163,0,302,193,495
134,Village Office Chellanam N,Chellanam,D,97,70,14,117,0,298,161,459
140,St Joseph LPS Mid Main Kumbalangi,Kumbalangi,A,97,39,8,152,0,296,361,657
25,Edward Memorial GLPS S,Fort Kochi,C,120,20,4,150,0,294,208,502
99,SVDLPS W Portion N Bldg,Chullickal,C,137,23,4,129,0,293,282,575
95,St Anthony LPS Mid S Bldg,Chullickal,C,108,24,4,155,0,291,185,476
84,St Sebastian HSS E N Bldg,Chullickal,B,146,26,5,113,0,290,280,570
17,GUPS Amaravathy SW Room S Block,Fort Kochi,B,153,27,6,98,0,284,332,616
146,St Peter HSS SW Bldg,Kumbalangi,A,103,52,10,119,0,284,408,692
129,Exodus Public School E,Chellanam,D,113,68,14,82,0,277,253,530
144,VPYLPS Mid Main Illickal,Kumbalangi,B,121,43,9,99,0,272,396,668
20,GUPS Southern Portion Main Block,Fort Kochi,C,120,30,6,114,0,270,201,471
18,GUPS Last Room E S Block,Fort Kochi,A,84,19,4,160,0,267,214,481
9,St John DBritto AIBHS S,Fort Kochi,C,108,18,4,134,0,264,161,425
77,St Jacob School Nazreth E,Chullickal,B,109,21,4,130,0,264,205,469
82,St Sebastian HSS E LP,Chullickal,B,130,18,4,111,0,263,270,533
154,St George LPS S Main Kumbalangi,Kumbalangi,C,136,36,7,84,0,263,288,551
71,St Joseph HS Chullickal E SW,Chullickal,B,129,14,3,116,0,262,284,546
110,St Louis HS NE Portion,Kumbalangi,B,112,17,4,114,0,247,230,477
54,Cochin College BioTech E,Chullickal,B,124,17,4,101,0,246,249,495
8,St John DBritto AIBHS N,Fort Kochi,C,101,16,4,120,0,241,154,395
53,Cochin College BioTech W,Chullickal,B,114,18,4,105,0,241,203,444
111,St Michael LPS N Bldg,Kumbalangi,A,40,58,12,130,0,240,272,512
109,St Louis HS E Portion,Kumbalangi,B,79,24,5,128,0,236,201,437
148,St Peter HSS Mid N Bldg,Kumbalangi,B,97,39,8,90,0,234,387,621
141,St Joseph LPS E Main Kumbalangi,Kumbalangi,B,80,34,6,112,0,232,291,523
34,Gujarati Vidhyalaya HSS SW,Fort Kochi Mattancherry,E,134,0,0,97,0,231,117,348
4,Santa Cruz HS NE Block,Fort Kochi,A,64,20,4,140,0,228,182,410
87,St Thomas LPS N Side Main,Chullickal,C,118,11,2,96,0,227,244,471
152,Govt UPS Mid N Bldg,Kumbalangi,B,76,35,7,109,0,227,250,477
149,OLFGHS E Main Bldg,Kumbalangi,A,66,38,8,114,0,226,439,665
46,Govt Girls HS LP E South,Fort Kochi Mattancherry,E,190,0,0,35,0,225,175,400
14,LG Pai Memorial Library W,Fort Kochi Mattancherry,E,175,0,0,49,0,224,137,361
137,St George LPS W Main,Chellanam,B,48,50,10,116,0,224,208,432
65,GHS Panayappilly KG W,Chullickal,B,113,11,2,96,0,222,220,442
97,SVDLPS N Portion Main,Chullickal,C,122,21,4,73,0,220,266,486
41,TD High School W End S,Fort Kochi Mattancherry,E,114,0,0,105,0,219,139,358
145,St Peter HSS Mid Main Bldg,Kumbalangi,A,106,28,5,78,0,217,277,494
153,St George LPS N Main Kumbalangi,Kumbalangi,A,84,44,9,80,0,217,338,555
133,Village Office Chellanam S,Chellanam,B,55,58,12,89,0,214,288,502
15,Govt UPS Amaravathy N,Fort Kochi Mattancherry,E,161,0,0,48,0,209,144,353
39,TD Girls LPS S New Block,Fort Kochi Mattancherry,E,173,0,0,34,0,207,177,384
96,SVDLPS S Portion Main,Chullickal,C,115,14,3,70,0,202,178,380
1,Our Lady of Hope School,Fort Kochi,A,72,8,1,120,0,201,179,380
131,St Mary HS E Portion Main,Chellanam,B,45,52,10,94,0,201,263,464
130,St Mary HS N Room E Bldg,Chellanam,B,34,68,14,82,0,198,253,451
51,TDLPS N Portion E Block,Chullickal,B,100,21,4,65,0,190,230,420
142,St Joseph LPS W Main Kumbalangi N,Kumbalangi,B,87,27,6,64,0,184,247,431
150,Govt UPS Mid Main Bldg,Kumbalangi,A,66,33,6,78,0,183,311,494
5,Santa Cruz HS W Block,Fort Kochi,A,79,18,3,81,0,181,232,413
86,St Thomas LPS E N Bldg,Chullickal,B,94,20,4,61,0,179,246,425
156,St George LPS Annex Mid,Kumbalangi,A,63,36,7,67,0,173,306,479
50,TD Teacher Training N Hall,Fort Kochi Mattancherry,E,121,0,0,48,0,169,140,309
155,St George UPS NW Bldg,Kumbalangi,A,57,39,8,60,0,164,358,522
127,Chellanam Panchayat Office,Chellanam,B,24,49,10,62,0,145,162,307
52,TDLPS S Portion E Block,Chullickal,B,88,8,2,32,0,130,200,330
101,SDPY HSS N Side Main,Chullickal,B,58,14,3,48,0,123,164,287
138,Leo English Medium School,Chellanam,B,18,28,6,69,0,121,170,291
37,Haji Easa Moosa HS N,Fort Kochi Mattancherry,E,88,0,0,29,0,117,149,266
102,SDPY HSS Mid Main,Chullickal,C,73,8,2,33,0,116,133,249
43,TD High School S Blk 4E,Fort Kochi Mattancherry,E,87,0,0,26,0,113,137,250
44,TD High School S Blk 5E,Fort Kochi Mattancherry,E,67,0,0,39,0,106,130,236
42,TD High School S Blk 4W,Fort Kochi Mattancherry,E,65,0,0,23,0,88,108,196
49,TD Teacher Training S Hall,Fort Kochi Mattancherry,E,53,0,0,0,1,54,94,148
118,Chinmaya Vidyalaya Kalathara,Chellanam,B,8,14,3,11,0,36,45,81
2,Temporary Shed Ramanthuruthu,Fort Kochi,A,1,0,0,1,0,2,11,13
