Booth_No,Location,Zone,Type,UDF_2021,LDF_2021,T20_2021,NDA_BJP_2021,UDF_2024,LDF_2024,NDA_2024,Gap_2021,Swing_2024,Verdict_2026
61,MMOHS N Portion W,Chullickal,C,224,402,9,0,454,166,0,178,230,UDF recoverable
62,MMOHS S Portion W,Chullickal,C,233,471,8,0,439,231,0,238,206,UDF recoverable
63,Corp Library Panayapilly,Chullickal,C,274,419,26,0,446,205,0,145,172,UDF recoverable
64,GHS Panayappilly KG E,Chullickal,C,223,415,35,0,380,193,0,192,157,UDF recoverable
65,GHS Panayappilly KG W,Chullickal,B,220,226,45,0,327,64,0,6,7,UDF flip
66,St Joseph HS Chullickal SE E,Chullickal,B,263,298,71,0,441,109,0,35,36,UDF flip
67,St Joseph HS Chullickal 3rd,Chullickal,B,304,307,116,0,496,100,0,3,4,UDF flip
68,St Joseph HS Chullickal Mid SE,Chullickal,B,301,364,102,0,488,119,0,63,64,UDF flip
69,St Joseph HS Chullickal 2W SE,Chullickal,C,286,393,94,0,460,157,0,107,174,UDF recoverable
70,St Joseph HS Chullickal W SE,Chullickal,B,312,337,77,0,479,121,0,25,26,UDF flip
71,St Joseph HS Chullickal E SW,Chullickal,B,284,329,58,0,414,145,0,45,46,UDF flip
72,St Joseph HS Chullickal Mid SW,Chullickal,B,355,433,68,0,534,177,0,78,79,UDF flip
73,OLCGHS Main Block 2nd Mid W,Chullickal,C,250,415,84,0,432,163,0,165,182,UDF recoverable
74,OLCGHS Main Block E Portion,Chullickal,A,387,377,44,0,565,139,0,10,,UDF safe
75,OLCGHS Main Block S End E,Chullickal,A,334,334,72,0,516,90,0,0,,UDF safe
76,Our Lady GLPS W Block N,Chullickal,C,349,513,106,0,549,166,0,164,200,UDF recoverable
77,St Jacob School Nazreth E,Chullickal,B,205,302,83,0,356,146,0,97,98,UDF recoverable
78,St Jacob School Nazreth W,Chullickal,B,310,343,105,0,486,130,0,33,34,UDF flip
79,Chaithanya Sunday School S,Chullickal,B,397,412,125,0,635,153,0,15,16,UDF flip
80,Chaithanya Sunday School N,Chullickal,A,365,364,149,0,582,115,0,1,,UDF safe
81,St Sebastian HSS W LP,Chullickal,C,284,394,71,0,454,178,0,110,170,UDF recoverable
82,St Sebastian HSS E LP,Chullickal,B,270,344,74,0,399,159,0,74,75,UDF flip
83,St Sebastian HSS W N Bldg,Chullickal,C,289,443,70,0,450,202,0,154,161,UDF recoverable
84,St Sebastian HSS E N Bldg,Chullickal,B,280,356,102,0,419,147,0,76,77,UDF flip
85,St Sebastian HSS LP 2nd W,Chullickal,B,276,298,116,0,469,73,0,22,23,UDF flip
86,St Thomas LPS E N Bldg,Chullickal,B,246,289,82,0,327,154,0,43,44,UDF flip
87,St Thomas LPS N Side Main,Chullickal,C,244,378,45,0,351,209,0,134,107,UDF recoverable
88,St Thomas LPS Mid Main,Chullickal,C,239,376,69,0,424,162,0,137,185,UDF recoverable
