District,Local Body Type,Local Body ID,Local Body,Ward Number,Ward Name,Candidate,Party,Front,Votes,Year
Alappuzha,Block Panchayat,B04035,Ambalappuzha,1,VADACKAL,കെ.എഫ്. ലാല്‍ജി,CPI,LDF,2907,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,2,BLOCK OFFICE,പ്രേം ഭാസിൻ,CPI(M),LDF,2677,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,3,ARAVUKADU,വിഷ്ണു പ്രസാദ് വാഴപ്പറമ്പിൽ,INC,UDF,2574,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,4,VANDANAM,സീന ടീച്ചർ,INC,UDF,2529,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,5,KAKKAZHAM,ലേഖാമോൾ സനിൽ,CPI(M),LDF,2442,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,6,KOMANA,എ ഓമനക്കുട്ടൻ,CPI(M),LDF,2699,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,7,KARUMADI,അനില്‍കുമാര്‍ പാഞ്ചജന്യം,BJP,NDA,2087,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,8,KAROOR,ആര്യ കൃഷ്ണൻ,INC,UDF,3209,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,9,THOTTAPALLY,സിമി പൊടിയൻ,INC,UDF,2640,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,10,PURAKKAD,മനീഷ്. എം പുറക്കാട്,INC,UDF,3148,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,11,AMBALAPPUZHA,സിനിയ ഷിഹാബ്,INC,UDF,3208,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,12,M C H,ടി ഷാജിമോൻ,CPI(M),LDF,2066,2025
Alappuzha,Block Panchayat,B04035,Ambalappuzha,13,PUNNAPRA,ലേഖ  ബിജു,INC,UDF,4380,2025
